Date,Price,Open,High,Low,Vol.,Change %
09/12/2025,32662,32.39,32800,32065,2.76K,1.05%
09/15/2025,32154,32.2,32400,32000,2.55K,-1.56%
09/16/2025,32329,31.91,32450,31910,5.07K,0.54%
09/17/2025,32401,32.6,32760,32335,1.86K,0.22%
09/18/2025,32952,32.55,33035,32545,2.38K,1.70%
09/19/2025,32308,32.66,32965,32170,2.11K,-1.95%
09/22/2025,31844,32.1,32200,31765,0.19K,-1.44%
09/23/2025,32265,32.03,32700,31990,0.33K,1.32%
09/24/2025,31903,32.16,32390,32000,0.08K,-1.12%
09/25/2025,32456,32.4,32565,32350,0.08K,1.73%
09/26/2025,32697,32.65,32710,32525,0.38K,0.74%
09/29/2025,32060,32.28,32280,32100,0.06K,-1.95%
09/30/2025,31411,32.25,32255,31430,3.97K,-2.02%
10/01/2025,31335,31.27,31385,30790,2.93K,-0.24%
10/02/2025,31455,31.44,31475,31055,4.05K,0.38%
10/03/2025,31438,31.1,31625,30970,3.86K,-0.05%
10/06/2025,33116,32.45,33215,32425,3.24K,5.34%
10/07/2025,33246,33.5,33625,33040,4.23K,0.39%
10/08/2025,32700,33.57,33570,32645,3.17K,-1.64%
10/09/2025,32363,32.19,32520,32065,2.78K,-1.03%
10/10/2025,32170,32.08,32185,31880,3.17K,-0.60%
10/13/2025,31475,31.82,31845,31345,,-2.16%
10/14/2025,31801,31.46,31860,31460,2.53K,1.04%
10/15/2025,31826,31.75,31850,31440,1.44K,0.08%
10/16/2025,32378,32.26,32650,32165,3.79K,1.73%
10/17/2025,31816,32.19,32315,31840,2.18K,-1.74%
10/20/2025,31739,31.77,31775,31590,1.69K,-0.24%
10/21/2025,32200,31.43,32270,31435,4.45K,1.45%
10/22/2025,31768,32.05,32185,31670,6.08K,-1.34%
10/23/2025,32454,32.25,32795,32250,4.11K,2.16%
10/24/2025,32016,32.2,32200,31855,1.64K,-1.35%
10/27/2025,31400,31.38,31440,31285,0.79K,-1.92%
10/28/2025,31494,31.31,31710,31315,0.02K,0.30%
10/29/2025,31869,31.86,31869,31869,0.02K,1.19%
