Date,Close,High,Low,Open,Volume
2025-03-06T00:00:00,66.36,67.09,65.59,66.39,341632
2025-03-07T00:00:00,67.04,68.22,66.12,66.34,329710
2025-03-10T00:00:00,66.03,67.6,65.8,67.11,249633
2025-03-11T00:00:00,66.25,67.17,65.29,65.95,222511
2025-03-12T00:00:00,67.68,67.88,66.15,66.62,246675
2025-03-13T00:00:00,66.55,67.94,66.37,67.69,268590
2025-03-14T00:00:00,67.18,67.48,66.59,66.78,180495
2025-03-17T00:00:00,67.58,68.37,67.25,67.35,161298
2025-03-18T00:00:00,66.9,68.72,66.56,67.4,110338
2025-03-19T00:00:00,67.16,67.63,66.21,66.72,73077
2025-03-20T00:00:00,68.26,68.47,66.88,67.29,283376
2025-03-21T00:00:00,68.28,68.65,67.65,68.35,198964
2025-03-24T00:00:00,69.11,69.33,67.95,68.35,247024
2025-03-25T00:00:00,69,69.68,68.52,69.16,258411
2025-03-26T00:00:00,69.65,70.22,69.06,69.16,262413
2025-03-27T00:00:00,69.92,69.97,69.12,69.96,211825
2025-03-28T00:00:00,69.36,70.09,68.87,69.91,246650
2025-03-31T00:00:00,71.48,71.83,68.81,69.43,313087
2025-04-01T00:00:00,71.2,72.1,71.03,71.39,272832
2025-04-02T00:00:00,71.71,72.28,70.59,71.2,286501
2025-04-03T00:00:00,66.95,70.41,65.98,70.38,459238
2025-04-04T00:00:00,61.99,66.9,60.45,66.64,559638
2025-04-07T00:00:00,60.7,63.9,58.95,61.12,597617
2025-04-08T00:00:00,59.58,61.75,57.88,61.03,557655
2025-04-09T00:00:00,62.35,62.93,55.12,58.32,592250
2025-04-10T00:00:00,60.07,63.34,58.76,62.71,391826
2025-04-11T00:00:00,61.5,61.87,59.43,60.2,306231
2025-04-14T00:00:00,61.53,62.68,60.59,61.7,238068
2025-04-15T00:00:00,61.33,62.06,60.88,61.58,197404
2025-04-16T00:00:00,62.47,62.98,60.44,61.54,213194
2025-04-17T00:00:00,64.68,64.86,62.61,62.63,111479
2025-04-21T00:00:00,63.08,64.42,62.45,64.3,82671
2025-04-22T00:00:00,64.31,65.09,63.43,63.43,297928
2025-04-23T00:00:00,62.27,64.87,61.53,64,397841
2025-04-24T00:00:00,62.79,63.31,61.99,62.34,264908
2025-04-25T00:00:00,63.02,63.41,61.8,62.86,283758
2025-04-28T00:00:00,62.05,63.92,61.48,63.49,276116
2025-04-29T00:00:00,60.42,62.07,60.12,61.87,312373
