"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2025","78.75","78.75","78.75","78.75","","-0.38%"
"07/01/2025","78.05","78.05","78.05","78.05","","-0.89%"
"07/02/2025","77.80","77.80","77.80","77.80","","-0.32%"
"07/03/2025","77.40","77.40","77.40","77.40","","-0.51%"
"07/07/2025","75.95","75.95","75.95","75.95","","-1.87%"
"07/08/2025","74.45","74.45","74.45","74.45","","-1.97%"
"07/09/2025","73.30","73.30","73.30","73.30","","-1.54%"
"07/10/2025","71.50","71.50","71.50","71.50","","-2.46%"
"07/11/2025","71.75","71.75","71.75","71.75","","0.35%"
"07/14/2025","72.30","72.30","72.30","72.30","","0.77%"
"07/15/2025","72.30","72.30","72.30","72.30","","0.00%"
"07/16/2025","72.30","72.30","72.30","72.30","","0.00%"
"07/17/2025","71.70","71.70","71.70","71.70","","-0.83%"
"07/18/2025","71.00","71.00","71.00","71.00","","-0.98%"
"07/21/2025","71.25","71.25","71.25","71.25","","0.35%"
"07/22/2025","71.40","71.40","71.40","71.40","","0.21%"
"07/23/2025","72.55","72.55","72.55","72.55","","1.61%"
"07/24/2025","72.30","72.30","72.30","72.30","","-0.34%"
"07/25/2025","71.65","71.65","71.65","71.65","","-0.90%"
"07/28/2025","71.30","71.30","71.30","71.30","","-0.49%"
"07/29/2025","71.25","71.25","71.25","71.25","","-0.07%"
"07/30/2025","71.25","71.25","71.25","71.25","","0.00%"
"07/31/2025","71.60","71.60","71.60","71.60","","0.49%"
"08/01/2025","71.45","71.45","71.45","71.45","","-0.21%"
"08/04/2025","71.45","71.45","71.45","71.45","","0.00%"
"08/05/2025","71.45","71.45","71.45","71.45","","0.00%"
"08/06/2025","72.35","72.35","72.35","72.35","","1.26%"
"08/07/2025","72.35","72.35","72.35","72.35","","0.00%"
"08/08/2025","71.95","71.95","71.95","71.95","","-0.55%"
"08/11/2025","72.20","72.20","72.20","72.20","","0.35%"
"08/12/2025","72.30","72.30","72.30","72.30","","0.14%"
"08/13/2025","72.70","72.70","72.70","72.70","","0.55%"
"08/14/2025","72.75","72.75","72.75","72.75","","0.07%"
"08/15/2025","73.00","73.00","73.00","73.00","","0.34%"
"08/18/2025","73.40","73.40","73.40","73.40","","0.55%"
"08/19/2025","73.40","73.40","73.40","73.40","","0.00%"
"08/20/2025","73.40","73.40","73.40","73.40","","0.00%"
"08/21/2025","73.25","73.25","73.25","73.25","","-0.20%"
"08/22/2025","74.05","74.05","74.05","74.05","","1.09%"
"08/25/2025","74.60","74.60","74.60","74.60","","0.74%"
"08/26/2025","74.80","74.80","74.80","74.80","","0.27%"
"08/27/2025","74.70","74.70","74.70","74.70","","-0.13%"
"08/28/2025","75.05","75.05","75.05","75.05","","0.47%"
"08/29/2025","76.65","76.65","76.65","76.65","","2.13%"
"09/02/2025","76.60","76.60","76.60","76.60","","-0.07%"
"09/03/2025","76.55","76.55","76.55","76.55","","-0.07%"
"09/04/2025","76.70","76.70","76.70","76.70","","0.20%"
"09/05/2025","76.20","76.20","76.20","76.20","","-0.65%"
"09/08/2025","76.95","76.95","76.95","76.95","","0.98%"
"09/09/2025","76.75","76.75","76.75","76.75","","-0.26%"
"09/10/2025","76.40","76.40","76.40","76.40","","-0.46%"
"09/11/2025","76.40","76.40","76.40","76.40","","0.00%"
"09/12/2025","75.70","75.70","75.70","75.70","","-0.92%"
"09/15/2025","75.25","75.25","75.25","75.25","","-0.59%"
"09/16/2025","76.30","76.30","76.30","76.30","","1.40%"
"09/17/2025","76.55","76.55","76.55","76.55","","0.33%"
"09/18/2025","76.55","76.55","76.55","76.55","","0.00%"
"09/19/2025","76.90","76.90","76.90","76.90","","0.46%"
"09/22/2025","77.90","77.90","77.90","77.90","","1.30%"
"09/23/2025","80.35","80.35","80.35","80.35","","3.15%"
"09/24/2025","82.15","82.15","82.15","82.15","","2.24%"
"09/25/2025","83.45","83.45","83.45","83.45","","1.58%"
"09/26/2025","82.50","82.50","82.50","82.50","","-1.14%"
"09/29/2025","82.00","82.00","82.00","82.00","","-0.61%"
"09/30/2025","81.95","81.95","81.95","81.95","","-0.06%"
"10/01/2025","83.10","83.10","83.10","83.10","","1.40%"
"10/02/2025","81.20","81.20","81.20","81.20","","-2.29%"
"10/03/2025","81.00","81.00","81.00","81.00","","-0.25%"
"10/06/2025","81.15","81.15","81.15","81.15","","0.19%"
"10/07/2025","79.75","84.05","84.05","84.05","0.01K","-1.73%"
"10/08/2025","78.90","78.90","78.90","78.90","","-1.07%"
"10/09/2025","77.00","77.00","77.00","77.00","","-2.41%"
"10/10/2025","78.90","78.90","78.90","78.90","","2.47%"
"10/13/2025","79.15","79.15","79.15","79.15","","0.32%"
"10/14/2025","79.50","79.50","79.50","79.50","","0.44%"
"10/15/2025","79.90","79.90","79.90","79.90","","0.50%"
"10/16/2025","79.90","79.90","79.90","79.90","","0.00%"
"10/17/2025","78.00","78.00","78.00","78.00","","-2.38%"
"10/20/2025","76.90","76.90","76.90","76.90","","-1.41%"
"10/21/2025","76.30","76.30","76.30","76.30","","-0.78%"
"10/22/2025","76.40","76.40","76.40","76.40","","0.13%"
"10/23/2025","76.50","76.50","76.50","76.50","","0.13%"
"10/24/2025","76.90","76.90","76.90","76.90","","0.52%"
"10/27/2025","77.65","77.65","77.65","77.65","","0.98%"
"10/28/2025","78.90","78.90","78.90","78.90","","1.61%"
"10/29/2025","81.35","81.35","81.35","81.35","","3.11%"
